project,Submission Table Number,link,Desired Prizes
sicc-song-analytics,1,https://brickhackv.devpost.com/submissions/112511-sicc-song-analytics,(no prizes submitted)
bunji.io,2,https://brickhackv.devpost.com/submissions/112708-bunji-io,"Best Design, Best Use of Google Cloud Platform,  Most Commercially Viable Product, Datto: Most socially impactful project, Best Community Impact, Best Newbie Hack"
Brick Hacker 2k19,3,https://brickhackv.devpost.com/submissions/112408-brick-hacker-2k19,(no prizes submitted)
Mood Swing,4,https://brickhackv.devpost.com/submissions/112750-mood-swing,"Best Community Impact, Hack Our Health"
Highlight,5,https://brickhackv.devpost.com/submissions/112256-highlight,"Best Use of 5G Currencies in Immersive Media,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Domain Name from Domain.com"
TigerAssist,6,https://brickhackv.devpost.com/submissions/112669-tigerassist,"Best VR/AR Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Wikipedia Game,7,https://brickhackv.devpost.com/submissions/112442-wikipedia-game,Best Game
Trashcan Finder,8,https://brickhackv.devpost.com/submissions/112558-trashcan-finder,"Best Use of Google Cloud Platform, Best Newbie Hack, Best ""Brick"" Hack, Snap Kit Prize, Best Community Impact, Datto: Most socially impactful project"
College Ride Share,9,https://brickhackv.devpost.com/submissions/112274-college-ride-share,"Best iOS App, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Shopping Kart,10,https://brickhackv.devpost.com/submissions/112688-shopping-kart,Best API Mash-Up Using Wegmans Data
PiView,11,https://brickhackv.devpost.com/submissions/112646-piview,"Best Use of 5G Currencies in Immersive Media, Best Use of Google Cloud Platform, Best Design, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
Duet,12,https://brickhackv.devpost.com/submissions/112560-duet,"Best iOS App, Best Multimedia Hack,  Most Commercially Viable Product, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
Apollo,13,https://brickhackv.devpost.com/submissions/112461-apollo,"Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best ""Brick"" Hack, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
dermVIEW,14,https://brickhackv.devpost.com/submissions/112573-dermview,"Best Design, Best Newbie Hack, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
CFantasy,15,https://brickhackv.devpost.com/submissions/112470-cfantasy,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best iOS App, Best Multimedia Hack, Best VR/AR Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Design, Best Newbie Hack, Best ""Brick"" Hack"
Confused?,16,https://brickhackv.devpost.com/submissions/112679-confused,"Best Constellation Brands Consumer Experience, Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Newbie Hack, Best Community Impact, Datto: Most socially impactful project"
Mapping a Wegman customer to its nearest restaurant,17,https://brickhackv.devpost.com/submissions/112680-mapping-a-wegman-customer-to-its-nearest-restaurant,"Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Newbie Hack, Best Community Impact, Datto: Most socially impactful project"
Parental Unit,18,https://brickhackv.devpost.com/submissions/112535-parental-unit,"Best Design, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
RedBrick,19,https://brickhackv.devpost.com/submissions/112420-redbrick,"Best IoT Hack Using a Qualcomm Device, Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
RShuttle,20,https://brickhackv.devpost.com/submissions/112595-rshuttle,"Best Use of Google Cloud Platform, Best Design, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Lit Dubs,21,https://brickhackv.devpost.com/submissions/112222-lit-dubs,"Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Brain Scale,22,https://brickhackv.devpost.com/submissions/112668-brain-scale,"Best Newbie Hack, Best Community Impact"
STARDUSTER,23,https://brickhackv.devpost.com/submissions/112234-starduster,"Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack, Best VR/AR Hack, Best Game, Best Design, Best Newbie Hack, Best ""Brick"" Hack"
QuoteJar,24,https://brickhackv.devpost.com/submissions/112656-quotejar,"Best iOS App,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Dots and Boxes - AI,25,https://brickhackv.devpost.com/submissions/112614-dots-and-boxes-ai,"Best Game, Best Newbie Hack"
ShopAR,26,https://brickhackv.devpost.com/submissions/112581-shopar,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best VR/AR Hack, Best API Mash-Up Using Wegmans Data, Best ""Brick"" Hack"
Charity Cart,27,https://brickhackv.devpost.com/submissions/112576-charity-cart,"Best API Mash-Up Using Wegmans Data, Best Use of Google Cloud Platform, Best ""Brick"" Hack, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
Teach To Draw!,28,https://brickhackv.devpost.com/submissions/112670-teach-to-draw,"Best Game, Best Use of Google Cloud Platform, Best Community Impact, Datto: Most socially impactful project"
Valet Yourself,29,https://brickhackv.devpost.com/submissions/112692-valet-yourself,"Best Domain Name from Domain.com, Best Use of Google Cloud Platform, Best ""Brick"" Hack, Datto: Most socially impactful project, Best Newbie Hack"
Babel AR,30,https://brickhackv.devpost.com/submissions/112424-babel-ar,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best Use of 5G Currencies in Immersive Media, Best Multimedia Hack, Best VR/AR Hack,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best Community Impact, Datto: Most socially impactful project"
Moberify,31,https://brickhackv.devpost.com/submissions/112631-moberify,"Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
Favor,32,https://brickhackv.devpost.com/submissions/112635-favor," Most Commercially Viable Product, Best Design, Best Community Impact, Datto: Most socially impactful project"
Voice-over,33,https://brickhackv.devpost.com/submissions/112714-voice-over,"Best VR/AR Hack, Best Use of 5G Currencies in Immersive Media, Most Creative Use of Vuzix Blade AR Smart Glasses,  Most Commercially Viable Product, Datto: Most socially impactful project, Best Community Impact, Datto: Most socially impactful project"
Brickhack-V,34,https://brickhackv.devpost.com/submissions/112722-brickhack-v,(no prizes submitted)
debate,35,https://brickhackv.devpost.com/submissions/112658-debate," Most Commercially Viable Product, Best Design, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
FindMySickness,36,https://brickhackv.devpost.com/submissions/112400-findmysickness,"Best Use of Google Cloud Platform, Best Design, Best Community Impact, Datto: Most socially impactful project"
Emergency Caller,37,https://brickhackv.devpost.com/submissions/112236-emergency-caller,"Best Use of 5G Currencies in Immersive Media, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
7times24,38,https://brickhackv.devpost.com/submissions/112675-7times24,"Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Design, Hack Our Health, Datto: Most socially impactful project"
BrickHack2019,39,https://brickhackv.devpost.com/submissions/112649-brickhack2019,"Best API Mash-Up Using Wegmans Data, Best Use of Google Cloud Platform, Best Newbie Hack"
Hackermate,40,https://brickhackv.devpost.com/submissions/112712-hackermate," Most Commercially Viable Product, Datto: Most socially impactful project, Best Newbie Hack"
FaceUp,41,https://brickhackv.devpost.com/submissions/112564-faceup,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best VR/AR Hack,  Most Commercially Viable Product, Best Newbie Hack, Best ""Brick"" Hack"
Peep,42,https://brickhackv.devpost.com/submissions/112698-peep,"Best Multimedia Hack, Best API Mash-Up Using Wegmans Data, Best VR/AR Hack, Best Use of 5G Currencies in Immersive Media, Best Use of Google Cloud Platform, Best ""Brick"" Hack, Best iOS App"
To trick you,43,https://brickhackv.devpost.com/submissions/112559-to-trick-you,"Best Game, Best Newbie Hack"
a11yrecruiter,44,https://brickhackv.devpost.com/submissions/112721-a11yrecruiter,"Best Domain Name from Domain.com,  Most Commercially Viable Product, Best Community Impact"
TeamUp,45,https://brickhackv.devpost.com/submissions/112629-teamup,"Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
UI for Constellation Brands products,46,https://brickhackv.devpost.com/submissions/112356-ui-for-constellation-brands-products,"Best Constellation Brands Consumer Experience, Best Design, Best ""Brick"" Hack, Best Community Impact"
Gladiator Gull,47,https://brickhackv.devpost.com/submissions/112382-gladiator-gull,"Best Game, Best Design, Best Newbie Hack"
Github Graphs,48,https://brickhackv.devpost.com/submissions/112482-github-graphs,"Best Design, Best Domain Name from Domain.com, Best Community Impact"
Tinted Memories,49,https://brickhackv.devpost.com/submissions/112504-tinted-memories,"Best Game, Best Newbie Hack, Best ""Brick"" Hack"
Git Gud,50,https://brickhackv.devpost.com/submissions/112467-git-gud,"Best Design, Best Newbie Hack, Best Community Impact"
Grocery Go,51,https://brickhackv.devpost.com/submissions/112687-grocery-go,"Best API Mash-Up Using Wegmans Data, Best Use of Google Cloud Platform,  Most Commercially Viable Product, Datto: Most socially impactful project, Best Community Impact"
DealWatcher,52,https://brickhackv.devpost.com/submissions/112337-dealwatcher,Best Design
Take a Seat,53,https://brickhackv.devpost.com/submissions/112494-take-a-seat,"Best Use of Google Cloud Platform, Best ""Brick"" Hack, Hack Our Health, Best Community Impact, Datto: Most socially impactful project"
BrickerSnatch,54,https://brickhackv.devpost.com/submissions/112546-brickersnatch,Best Game
MealSuggestion,55,https://brickhackv.devpost.com/submissions/112699-mealsuggestion,Best API Mash-Up Using Wegmans Data
Wegmans Scanner,56,https://brickhackv.devpost.com/submissions/112659-wegmans-scanner,"Best API Mash-Up Using Wegmans Data, Best ""Brick"" Hack"
Rate-my-facilities,57,https://brickhackv.devpost.com/submissions/112700-rate-my-facilities,"Best Use of Google Cloud Platform, Datto: Most socially impactful project"
Find Fido,58,https://brickhackv.devpost.com/submissions/112727-find-fido,"Best Use of Google Cloud Platform, Datto: Most socially impactful project, Best iOS App, Best Community Impact"
Adventure at Table 12,59,https://brickhackv.devpost.com/submissions/112391-adventure-at-table-12,"Best Multimedia Hack, Best Game, Best Constellation Brands Consumer Experience, Best Design, Best Newbie Hack, Best ""Brick"" Hack"
Poster AI,61,https://brickhackv.devpost.com/submissions/112473-poster-ai,"Best Multimedia Hack, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
mini-theft-manual,62,https://brickhackv.devpost.com/submissions/112580-mini-theft-manual,"Best Multimedia Hack, Best Game"
Clout,63,https://brickhackv.devpost.com/submissions/112723-clout,"Best Design, Best Use of Google Cloud Platform,  Most Commercially Viable Product, Best ""Brick"" Hack, Datto: Most socially impactful project, Best Game, Best Community Impact, Best Newbie Hack"
Gitaxian Probe,64,https://brickhackv.devpost.com/submissions/112671-gitaxian-probe,"Best VR/AR Hack, Best Design, Best Newbie Hack, Best ""Brick"" Hack"
Speedy Snacks,65,https://brickhackv.devpost.com/submissions/112701-speedy-snacks,Best API Mash-Up Using Wegmans Data
Veriface,66,https://brickhackv.devpost.com/submissions/112702-veriface,"Best Design, Best ""Brick"" Hack, Datto: Most socially impactful project, Best Community Impact, Best Newbie Hack"
Cheer Me Up,67,https://brickhackv.devpost.com/submissions/112307-cheer-me-up,"Best Use of Google Cloud Platform, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
Soteria,68,https://brickhackv.devpost.com/submissions/112346-soteria,"Best Use of Google Cloud Platform, Best ""Brick"" Hack, Best Community Impact"
Know Good News,69,https://brickhackv.devpost.com/submissions/112249-know-good-news,"Best iOS App, Best Multimedia Hack, Best Game, Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best ""Brick"" Hack"
Brik,70,https://brickhackv.devpost.com/submissions/112283-brik,"Best iOS App, Best Design, Best ""Brick"" Hack"
Cozie,71,https://brickhackv.devpost.com/submissions/112676-cozie,"Best Use of Google Cloud Platform, Hack Our Health"
EventMux,72,https://brickhackv.devpost.com/submissions/112650-eventmux,"Best Use of 5G Currencies in Immersive Media, Best Use of Google Cloud Platform, Best Domain Name from Domain.com, Datto: Most socially impactful project"
Hear4U,73,https://brickhackv.devpost.com/submissions/112515-hear4u,"Best iOS App, Best Use of Google Cloud Platform, Best Community Impact, Datto: Most socially impactful project"
nappy nap nap,74,https://brickhackv.devpost.com/submissions/112665-nappy-nap-nap,"Best Design, Best Newbie Hack, Hack Our Health"
Tamagogo,75,https://brickhackv.devpost.com/submissions/112545-tamagogo,"Best Game, Best Design, Best Domain Name from Domain.com, Best Community Impact, Datto: Most socially impactful project"
The sickest of sick games,76,https://brickhackv.devpost.com/submissions/112733-the-sickest-of-sick-games,Best Game
Good Gracies Simulator 2020,77,https://brickhackv.devpost.com/submissions/112672-good-gracies-simulator-2020,"Best VR/AR Hack, Best Game"
Coin Counter,78,https://brickhackv.devpost.com/submissions/112436-coin-counter,"Best Multimedia Hack, Best Design, Best Community Impact, Datto: Most socially impactful project"
Satellite Imagery,79,https://brickhackv.devpost.com/submissions/112512-satellite-imagery,"Best Newbie Hack, Best ""Brick"" Hack, Best Domain Name from Domain.com"
Helmet Hero,80,https://brickhackv.devpost.com/submissions/112685-helmet-hero,"Best Community Impact, Datto: Most socially impactful project"
WegBuddy,81,https://brickhackv.devpost.com/submissions/112593-wegbuddy,"Best API Mash-Up Using Wegmans Data, Best Use of Google Cloud Platform, Best Newbie Hack"
Brick App (abandoned side project),82,https://brickhackv.devpost.com/submissions/112421-brick-app-abandoned-side-project,"Best Newbie Hack, Best ""Brick"" Hack"
Wegmans,83,https://brickhackv.devpost.com/submissions/112657-wegmans,"Best API Mash-Up Using Wegmans Data, Best Newbie Hack"
Wegmaniac,84,https://brickhackv.devpost.com/submissions/112710-wegmaniac,"Best API Mash-Up Using Wegmans Data, Best Use of Google Cloud Platform, Best Newbie Hack"
Rock Paper Scissors,85,https://brickhackv.devpost.com/submissions/112363-rock-paper-scissors,"Best VR/AR Hack, Best Newbie Hack"
Brick Industries & Trains,86,https://brickhackv.devpost.com/submissions/112693-brick-industries-trains,"Best ""Brick"" Hack"
Musical MIDI Dot Matrix Printer,87,https://brickhackv.devpost.com/submissions/112486-musical-midi-dot-matrix-printer,"Best Multimedia Hack, Best Newbie Hack, Best ""Brick"" Hack"
Apex Bricks,88,https://brickhackv.devpost.com/submissions/112223-apex-bricks,(no prizes submitted)
Alarm System,89,https://brickhackv.devpost.com/submissions/112648-alarm-system,"Best Newbie Hack, Best ""Brick"" Hack"
Blind Spot,90,https://brickhackv.devpost.com/submissions/112601-blind-spot,"Best IoT Hack Using a Qualcomm Device, Best Use of 5G Currencies in Immersive Media, Best iOS App, Best Constellation Brands Consumer Experience,  Most Commercially Viable Product, Best Design, Best Community Impact, Datto: Most socially impactful project"
Community Food,91,https://brickhackv.devpost.com/submissions/112233-community-food,"Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Best Community Impact, Datto: Most socially impactful project"
Make Me Kanye,92,https://brickhackv.devpost.com/submissions/112348-make-me-kanye,"Best Use of Google Cloud Platform, Best Design, Best Newbie Hack, Best Domain Name from Domain.com"
Customer Data Analysis for Wegmans by using their API,93,https://brickhackv.devpost.com/submissions/112655-customer-data-analysis-for-wegmans-by-using-their-api,"Best API Mash-Up Using Wegmans Data,  Most Commercially Viable Product, Best Design, Best Community Impact, Datto: Most socially impactful project"
Server Ducks,94,https://brickhackv.devpost.com/submissions/112769-server-ducks,Best Newbie Hack
Idle Wegmans Simulator,94,https://brickhackv.devpost.com/submissions/112351-idle-wegmans-simulator,"Best Game, Best API Mash-Up Using Wegmans Data"
It's Lit,95,https://brickhackv.devpost.com/submissions/112572-it-s-lit,"Best Game, Best Multimedia Hack, Best ""Brick"" Hack"
"JareWare, Inc Mega Microgames",96,https://brickhackv.devpost.com/submissions/112579-jareware-inc-mega-microgames,(no prizes submitted)
Android Phone As A Speech-To-Text USB Keyboard,97,https://brickhackv.devpost.com/submissions/112246-android-phone-as-a-speech-to-text-usb-keyboard,(no prizes submitted)
AutoCycle,98,https://brickhackv.devpost.com/submissions/112585-autocycle," Most Commercially Viable Product, Best Use of Google Cloud Platform, Best Community Impact, Datto: Most socially impactful project"
Corona Adventure,99,https://brickhackv.devpost.com/submissions/112863-corona-adventure,Best Constellation Brands Consumer Experience
RIT Bus Finder,99,https://brickhackv.devpost.com/submissions/112604-rit-bus-finder,(no prizes submitted)
LookOut,100,https://brickhackv.devpost.com/submissions/112619-lookout,"Best iOS App, Best Use of Google Cloud Platform"
javascript-war-game,100,https://brickhackv.devpost.com/submissions/112393-javascript-war-game,Best Game
PedestrianDetect,101,https://brickhackv.devpost.com/submissions/112653-pedestriandetect,"Best Use of 5G Currencies in Immersive Media, Best Community Impact, Datto: Most socially impactful project"
Wegify,101,https://brickhackv.devpost.com/submissions/112707-wegify,"Best Design, Best iOS App"
Where am I?,102,https://brickhackv.devpost.com/submissions/112524-where-am-i,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best Newbie Hack"
Keyboard AR,102,https://brickhackv.devpost.com/submissions/112541-keyboard-ar,Most Creative Use of Vuzix Blade AR Smart Glasses
Rizmi Scholars,103,https://brickhackv.devpost.com/submissions/112667-rizmi-scholars,"Best Community Impact, Datto: Most socially impactful project"
EZTas Switch Tool,103,https://brickhackv.devpost.com/submissions/112555-eztas-switch-tool,Best Design
brickhack_project,104,https://brickhackv.devpost.com/submissions/112221-brickhack_project,(no prizes submitted)
Wiki for Movies/Shows,104,https://brickhackv.devpost.com/submissions/112628-wiki-for-movies-shows,Best API Mash-Up Using Wegmans Data
Mega Pool,104,https://brickhackv.devpost.com/submissions/112642-mega-pool,"Best Game, Best Design, Best Newbie Hack"
mtgpricepoint,105,https://brickhackv.devpost.com/submissions/112766-mtgpricepoint,(no prizes submitted)
brickhack-2,105,https://brickhackv.devpost.com/submissions/112704-brickhack-2,Best Game
VuPix,106,https://brickhackv.devpost.com/submissions/112600-vupix,"Most Creative Use of Vuzix Blade AR Smart Glasses, Best VR/AR Hack"
TempTune,106,https://brickhackv.devpost.com/submissions/112664-temptune,"Best Multimedia Hack, Best Design, Best Newbie Hack, Best ""Brick"" Hack, Snap Kit Prize, Datto: Most socially impactful project"
MayContain - Wegmans x Blade,107,https://brickhackv.devpost.com/submissions/112694-maycontain-wegmans-x-blade,"Best API Mash-Up Using Wegmans Data, Best VR/AR Hack, Most Creative Use of Vuzix Blade AR Smart Glasses"
HackTunes,107,https://brickhackv.devpost.com/submissions/112427-hacktunes,"Best Multimedia Hack, Best Game, Best Design, Best ""Brick"" Hack"
You Said What?!,108,https://brickhackv.devpost.com/submissions/112531-you-said-what,Best Use of Google Cloud Platform
Elder Scrolls Dungeon Crawler,108,https://brickhackv.devpost.com/submissions/112529-elder-scrolls-dungeon-crawler,"Best Game, Best Newbie Hack, Best Community Impact"
WadaWada,109,https://brickhackv.devpost.com/submissions/112678-wadawada,"Best API Mash-Up Using Wegmans Data, Best Newbie Hack, Hack Our Health, Best Community Impact"
Stress Check,109,https://brickhackv.devpost.com/submissions/112728-stress-check," Most Commercially Viable Product, Best ""Brick"" Hack, Datto: Most socially impactful project, Best iOS App, Best Community Impact, Hack Our Health, Best Newbie Hack"
IMG2MP3,110,https://brickhackv.devpost.com/submissions/112706-img2mp3,"Best Multimedia Hack, Best ""Brick"" Hack"
Elpis,110,https://brickhackv.devpost.com/submissions/112683-elpis,"Best Design, Best Newbie Hack, Best ""Brick"" Hack, Hack Our Health, Best Domain Name from Domain.com, Snap Kit Prize, Best Community Impact, Datto: Most socially impactful project"
Hapi,111,https://brickhackv.devpost.com/submissions/112620-hapi,Best Use of Google Cloud Platform
Guitar Hero,111,https://brickhackv.devpost.com/submissions/112716-guitar-hero,(no prizes submitted)
MEGOBUS Cyberspace Roadtrip,112,https://brickhackv.devpost.com/submissions/112630-megobus-cyberspace-roadtrip,"Best Game, Best Design"
Leggo My Weggo,112,https://brickhackv.devpost.com/submissions/112371-leggo-my-weggo,"Best Use of Google Cloud Platform, Best Domain Name from Domain.com"